project_id,project_type,county,nca_contractor_grade,budget_ksh,planned_duration_days,completed_milestones_count,total_milestones_count,current_delay_days,delayed,cost_overrun_pct
PROJ-KE-0001,Residential,Nairobi,NCA 4,110564733.03,194,11,13,0,0,2.54
PROJ-KE-0002,Commercial,Uasin Gishu,NCA 1,207917353.86,706,1,3,0,0,0.0
PROJ-KE-0003,Residential,Kajiado,NCA 5,948883079.71,804,5,9,32,1,39.79
PROJ-KE-0004,Commercial,Kisumu,NCA 2,53926623.34,360,1,15,0,0,0.0
PROJ-KE-0005,Residential,Meru,NCA 5,52259441.24,723,3,8,0,1,14.55
PROJ-KE-0006,Commercial,Kilifi,NCA 6,138319531.4,479,7,7,0,0,2.28
PROJ-KE-0007,Commercial,Kajiado,NCA 4,89764256.78,740,4,5,0,0,1.96
PROJ-KE-0008,Civil Works,Kilifi,NCA 4,295146031.89,953,1,15,9,1,8.08
PROJ-KE-0009,Industrial,Nyeri,NCA 1,34509173.44,601,7,9,22,0,3.13
PROJ-KE-0010,Commercial,Kericho,NCA 6,54773458.76,231,7,11,11,0,1.76
PROJ-KE-0011,Commercial,Kericho,NCA 3,63752585.14,484,9,9,0,0,0.47
PROJ-KE-0012,Industrial,Nairobi,NCA 4,706587584.35,858,5,7,60,1,16.22
PROJ-KE-0013,Commercial,Kajiado,NCA 8,120513503.37,198,4,13,0,0,0.2
PROJ-KE-0014,Residential,Machakos,NCA 3,104170034.88,887,0,11,0,0,1.25
PROJ-KE-0015,Residential,Meru,NCA 1,118336869.29,170,3,4,0,0,3.03
PROJ-KE-0016,Commercial,Laikipia,NCA 7,88268614.19,259,6,7,0,1,27.77
PROJ-KE-0017,Infrastructure,Murang'a,NCA 8,45367828.26,755,7,8,0,1,7.11
PROJ-KE-0018,Commercial,Kilifi,NCA 3,142073432.92,97,0,4,120,1,33.97
PROJ-KE-0019,Commercial,Laikipia,NCA 1,133653927.41,225,14,14,0,0,0.68
PROJ-KE-0020,Residential,Kericho,NCA 1,307905555.91,523,7,9,0,0,3.26
PROJ-KE-0021,Residential,Mombasa,NCA 2,193969694.79,437,3,15,29,0,1.01
PROJ-KE-0022,Commercial,Bungoma,NCA 1,342044813.42,972,1,11,74,0,3.23
PROJ-KE-0023,Industrial,Kilifi,NCA 1,7188465.1,587,3,10,0,0,0.68
PROJ-KE-0024,Commercial,Murang'a,NCA 2,143361679.39,523,11,14,0,0,0.0
PROJ-KE-0025,Commercial,Meru,NCA 1,56186583.44,149,11,12,0,0,0.69
PROJ-KE-0026,Residential,Machakos,NCA 1,10426326.74,160,1,12,0,0,1.27
PROJ-KE-0027,Industrial,Kilifi,NCA 3,198011821.02,130,1,12,79,1,21.51
PROJ-KE-0028,Infrastructure,Nyeri,NCA 1,71340549.94,495,5,5,0,0,2.12
PROJ-KE-0029,Industrial,Nairobi,NCA 3,2500000000.0,165,3,11,0,0,2.14
PROJ-KE-0030,Commercial,Kilifi,NCA 2,246327686.32,251,8,10,0,0,0.0
PROJ-KE-0031,Infrastructure,Nairobi,NCA 4,7892503.82,196,2,5,18,0,1.16
PROJ-KE-0032,Commercial,Uasin Gishu,NCA 4,53932510.17,298,10,13,0,0,1.16
